;NasaAstrobiology;nasaarmstrong;Topic_6;Topic_4;NASAsKeplerMission;mars.rovers;neildegrassetyson;ESOAstronomy;Topic_2;NASA.Little.SDO;131376260352637;Topic_3;NASAJPL;ISRO;MarsCuriosity;EuropeanSpaceAgency;NASACassini;Topic_8;LunarReconnaissanceOrbiter;chandraxrayobservatory;NASAOrion;FollowNASA360;NASAKennedy;new.horizons1;NASA.GSFC;Topic_5;NASAJuno;nasasolarsystem;EuropeanSpaceHistory;Topic_1;RosettaMission;universetoday;planetarysociety;Topic_7;NASAJSC;nasalarc;AstronautChrisHadfield;Topic_9;NASASLS;NASAHistoryOffice;NASAGlenn;nasaearth;spacecom;NasaMeteorWatch;ISS;StarTalkRadio;webbtelescope;SpaceX;NASA.ISRU;hubbleESA;CanadianSpaceAgency;NASA.STI.Program;SETIInstitute;nasaspaceplace;ESATimPeake;NASA;Topic_0;HubbleTelescope;AstronomyMagazine;spacegovuk
NasaAstrobiology;0;0;42.11000061035156;8.109999656677246;0;0;0;0;16.690000534057617;0;0;0.009999999776482582;0;0;0;0;0;1.7200000286102295;0;0;0;0;0;0;0;0.009999999776482582;0;0;0;26.100000381469727;0;0;0;0.8799999952316284;0;0;0;4.239999771118164;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.14000000059604645;0;0;0
nasaarmstrong;0;0;4.769999980926514;81.23999786376953;0;0;0;0;0.12999999523162842;0;0;1.309999942779541;0;0;0;0;0;0.009999999776482582;0;0;0;0;0;0;0;0.46000000834465027;0;0;0;1.4900000095367432;0;0;0;0.11999999731779099;0;0;0;9.789999961853027;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6700000166893005;0;0;0
Topic_6;42.11000061035156;4.769999980926514;0;0;36.75;90.3499984741211;7.650000095367432;4.230000019073486;0;5.989999771118164;8.84000015258789;0;76.44999694824219;3.5199999809265137;86.43000030517578;13.630000114440918;70.41999816894531;0;50.810001373291016;4.239999771118164;3.640000104904175;47.470001220703125;7.849999904632568;84.86000061035156;11.260000228881836;0;72.97000122070312;77.98999786376953;8.84000015258789;0;18.979999542236328;47.68000030517578;44.65999984741211;0;4.619999885559082;17.030000686645508;19.389999389648438;0;19.389999389648438;20.770000457763672;9.880000114440918;7.070000171661377;48.54999923706055;24.75;2.759999990463257;26.65999984741211;7.25;13.069999694824219;23.139999389648438;3.240000009536743;12.100000381469727;23.200000762939453;30.639999389648438;55.9900016784668;9.920000076293945;30.43000030517578;0;22.65999984741211;33.900001525878906;13.59000015258789
Topic_4;8.109999656677246;81.23999786376953;0;0;8.329999923706055;2.6700000762939453;2.430000066757202;1.2899999618530273;0;2.4000000953674316;0.009999999776482582;0;4.75;11.819999694824219;6.639999866485596;2.2799999713897705;0.029999999329447746;0;3.2899999618530273;0.4399999976158142;85.70999908447266;11.020000457763672;56.0099983215332;4.239999771118164;10.6899995803833;0;9.979999542236328;5.349999904632568;7.78000020980835;0;0.07999999821186066;7.03000020980835;6.579999923706055;0;23.049999237060547;52.38999938964844;3.4200000762939453;0;70.80999755859375;50.09000015258789;76.1500015258789;2.6500000953674316;6.420000076293945;1.840000033378601;5.900000095367432;5.949999809265137;14.1899995803833;24.010000228881836;60.119998931884766;0.05000000074505806;5.940000057220459;23.690000534057617;1.809999942779541;6.489999771118164;3.1500000953674316;10.470000267028809;0;0.9200000166893005;0.75;5.210000038146973
NASAsKeplerMission;0;0;36.75;8.329999923706055;0;0;0;0;5.070000171661377;0;0;0.8199999928474426;0;0;0;0;0;0.8899999856948853;0;0;0;0;0;0;0;0.8199999928474426;0;0;0;39.880001068115234;0;0;0;5.230000019073486;0;0;0;1.6399999856948853;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5699999928474426;0;0;0
mars.rovers;0;0;90.3499984741211;2.6700000762939453;0;0;0;0;0.4300000071525574;0;0;0.15000000596046448;0;0;0;0;0;1.5399999618530273;0;0;0;0;0;0;0;0.1599999964237213;0;0;0;1.559999942779541;0;0;0;0.05999999865889549;0;0;0;3.0799999237060547;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.009999999776482582;0;0;0
neildegrassetyson;0;0;7.650000095367432;2.430000066757202;0;0;0;0;84.69999694824219;0;0;0.15000000596046448;0;0;0;0;0;0.09000000357627869;0;0;0;0;0;0;0;0.4000000059604645;0;0;0;3.2300000190734863;0;0;0;0.03999999910593033;0;0;0;1.2999999523162842;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ESOAstronomy;0;0;4.230000019073486;1.2899999618530273;0;0;0;0;0.1599999964237213;0;0;0;0;0;0;0;0;0.8399999737739563;0;0;0;0;0;0;0;1.2899999618530273;0;0;0;6.139999866485596;0;0;0;3.0299999713897705;0;0;0;1.8700000047683716;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81.13999938964844;0;0;0
Topic_2;16.690000534057617;0.12999999523162842;0;0;5.070000171661377;0.4300000071525574;84.69999694824219;0.1599999964237213;0;0;10.1899995803833;0;0.15000000596046448;0.009999999776482582;0.38999998569488525;0.1899999976158142;0;0;1.6299999952316284;0.14000000059604645;0.6899999976158142;0.029999999329447746;0;1.25;0;0;0;1.0700000524520874;0;0;0.009999999776482582;1.1799999475479126;2.430000066757202;0;0.1899999976158142;1.0099999904632568;30.770000457763672;0;0;0;1.8200000524520874;0.25;8.880000114440918;30.739999771118164;0;37.459999084472656;0.25;1.3799999952316284;0;0;0.4300000071525574;0;0.3400000035762787;3.319999933242798;5.239999771118164;0;0;0.3799999952316284;0.20000000298023224;0.30000001192092896
NASA.Little.SDO;0;0;5.989999771118164;2.4000000953674316;0;0;0;0;0;0;0;0.5899999737739563;0;0;0;0;0;0;0;0;0;0;0;0;0;81.51000213623047;0;0;0;5.639999866485596;0;0;0;0.8100000023841858;0;0;0;2.9200000762939453;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.12999999523162842;0;0;0
