;NasaAstrobiology;nasaarmstrong;Topic_6;Topic_4;NASAsKeplerMission;mars.rovers;neildegrassetyson;ESOAstronomy;Topic_2;NASA.Little.SDO;131376260352637;Topic_3;NASAJPL;ISRO;MarsCuriosity;EuropeanSpaceAgency;NASACassini;Topic_8;LunarReconnaissanceOrbiter;chandraxrayobservatory;NASAOrion;FollowNASA360;NASAKennedy;new.horizons1;NASA.GSFC;Topic_5;NASAJuno;nasasolarsystem;EuropeanSpaceHistory;Topic_1;RosettaMission;universetoday;planetarysociety;Topic_7;NASAJSC;nasalarc;AstronautChrisHadfield;Topic_9;NASASLS;NASAHistoryOffice;NASAGlenn;nasaearth;spacecom;NasaMeteorWatch;ISS;StarTalkRadio;webbtelescope;SpaceX;NASA.ISRU;hubbleESA;CanadianSpaceAgency;NASA.STI.Program;SETIInstitute;nasaspaceplace;ESATimPeake;NASA;Topic_0;HubbleTelescope;AstronomyMagazine;spacegovuk
131376260352637;0;0;8.84000015258789;0.009999999776482582;0;0;0;0;10.1899995803833;0;0;56.86000061035156;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;2.0199999809265137;0;0;0;8.569999694824219;0;0;0;12.479999542236328;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.019999999552965164;0;0;0
Topic_3;0.009999999776482582;1.309999942779541;0;0;0.8199999928474426;0.15000000596046448;0.15000000596046448;0;0;0.5899999737739563;56.86000061035156;0;1.2999999523162842;0;0.20000000298023224;6.78000020980835;0;0;0;0.17000000178813934;5.53000020980835;7.090000152587891;30.31999969482422;0.029999999329447746;1.909999966621399;0;0.28999999165534973;0.07000000029802322;4.03000020980835;0;0;8.829999923706055;2.6700000762939453;0;69.51000213623047;7.730000019073486;6.75;0;3.6600000858306885;5.119999885559082;4.929999828338623;1.7699999809265137;7.559999942779541;0.5;84.91999816894531;6.570000171661377;0.029999999329447746;57.470001220703125;8.949999809265137;0;18.149999618530273;5.710000038146973;0.8299999833106995;3.549999952316284;17.65999984741211;30.780000686645508;0;0;0.14000000059604645;0.25999999046325684
NASAJPL;0;0;76.44999694824219;4.75;0;0;0;0;0.15000000596046448;0;0;1.2999999523162842;0;0;0;0;0;0.3400000035762787;0;0;0;0;0;0;0;0.7400000095367432;0;0;0;7.489999771118164;0;0;0;0.11999999731779099;0;0;0;8.09000015258789;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5699999928474426;0;0;0
ISRO;0;0;3.5199999809265137;11.819999694824219;0;0;0;0;0.009999999776482582;0;0;0;0;0;0;0;0;78.87999725341797;0;0;0;0;0;0;0;1.4299999475479126;0;0;0;1.149999976158142;0;0;0;0.9200000166893005;0;0;0;2.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MarsCuriosity;0;0;86.43000030517578;6.639999866485596;0;0;0;0;0.38999998569488525;0;0;0.20000000298023224;0;0;0;0;0;1.399999976158142;0;0;0;0;0;0;0;0.4399999976158142;0;0;0;2.430000066757202;0;0;0;0;0;0;0;2.059999942779541;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EuropeanSpaceAgency;0;0;13.630000114440918;2.2799999713897705;0;0;0;0;0.1899999976158142;0;0;6.78000020980835;0;0;0;0;0;18.290000915527344;0;0;0;0;0;0;0;1.0;0;0;0;2.7699999809265137;0;0;0;45.939998626708984;0;0;0;5.760000228881836;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.3499999046325684;0;0;0
NASACassini;0;0;70.41999816894531;0.029999999329447746;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.739999771118164;0;0;0;9.649999618530273;0;0;0;0.009999999776482582;0;0;0;9.819999694824219;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3199999928474426;0;0;0
Topic_8;1.7200000286102295;0.009999999776482582;0;0;0.8899999856948853;1.5399999618530273;0.09000000357627869;0.8399999737739563;0;0;0;0;0.3400000035762787;78.87999725341797;1.399999976158142;18.290000915527344;0;0;32.4900016784668;0;0.019999999552965164;0.11999999731779099;0.05999999865889549;2.5999999046325684;0;0;5.96999979019165;3.259999990463257;1.0299999713897705;0;71.5;2.7899999618530273;34.29999923706055;0;0;0;0.009999999776482582;0;0.05999999865889549;0;0.019999999552965164;0.20999999344348907;0.7099999785423279;0.07999999821186066;0;1.4299999475479126;0.07000000029802322;0.6700000166893005;1.6699999570846558;0.3100000023841858;0.25999999046325684;0.17000000178813934;2.4000000953674316;0.23000000417232513;0.07000000029802322;0;0;0.5099999904632568;1.5299999713897705;5.159999847412109
LunarReconnaissanceOrbiter;0;0;50.810001373291016;3.2899999618530273;0;0;0;0;1.6299999952316284;0;0;0;0;0;0;0;0;32.4900016784668;0;0;0;0;0;0;0;3.619999885559082;0;0;0;2.440000057220459;0;0;0;0.5799999833106995;0;0;0;4.550000190734863;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6000000238418579;0;0;0
chandraxrayobservatory;0;0;4.239999771118164;0.4399999976158142;0;0;0;0;0.14000000059604645;0;0;0.17000000178813934;0;0;0;0;0;0;0;0;0;0;0;0;0;6.900000095367432;0;0;0;85.56999969482422;0;0;0;0.3400000035762787;0;0;0;1.1100000143051147;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.100000023841858;0;0;0
NASAOrion;0;0;3.640000104904175;85.70999908447266;0;0;0;0;0.6899999976158142;0;0;5.53000020980835;0;0;0;0;0;0.019999999552965164;0;0;0;0;0;0;0;1.590000033378601;0;0;0;0.5199999809265137;0;0;0;1.2799999713897705;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.009999999776482582;0;0;0
FollowNASA360;0;0;47.470001220703125;11.020000457763672;0;0;0;0;0.029999999329447746;0;0;7.090000152587891;0;0;0;0;0;0.11999999731779099;0;0;0;0;0;0;0;6.75;0;0;0;16.309999465942383;0;0;0;0;0;0;0;6.119999885559082;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.079999923706055;0;0;0
NASAKennedy;0;0;7.849999904632568;56.0099983215332;0;0;0;0;0;0;0;30.31999969482422;0;0;0;0;0;0.05999999865889549;0;0;0;0;0;0;0;1.0;0;0;0;0.4399999976158142;0;0;0;0.15000000596046448;0;0;0;3.6700000762939453;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5099999904632568;0;0;0
new.horizons1;0;0;84.86000061035156;4.239999771118164;0;0;0;0;1.25;0;0;0.029999999329447746;0;0;0;0;0;2.5999999046325684;0;0;0;0;0;0;0;0.9700000286102295;0;0;0;4.28000020980835;0;0;0;0.05000000074505806;0;0;0;1.659999966621399;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05999999865889549;0;0;0
NASA.GSFC;0;0;11.260000228881836;10.6899995803833;0;0;0;0;0;0;0;1.909999966621399;0;0;0;0;0;0;0;0;0;0;0;0;0;16.8799991607666;0;0;0;10.819999694824219;0;0;0;0.009999999776482582;0;0;0;38.099998474121094;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.329999923706055;0;0;0
Topic_5;0.009999999776482582;0.46000000834465027;0;0;0.8199999928474426;0.1599999964237213;0.4000000059604645;1.2899999618530273;0;81.51000213623047;1.0;0;0.7400000095367432;1.4299999475479126;0.4399999976158142;1.0;9.739999771118164;0;3.619999885559082;6.900000095367432;1.590000033378601;6.75;1.0;0.9700000286102295;16.8799991607666;0;4.800000190734863;2.619999885559082;2.6700000762939453;0;2.259999990463257;3.5899999141693115;0.5600000023841858;0;0.33000001311302185;2.700000047683716;1.3300000429153442;0;1.0399999618530273;3.700000047683716;0.5799999833106995;4.110000133514404;2.2799999713897705;25.40999984741211;0.6899999976158142;2.930000066757202;0.9100000262260437;0.8500000238418579;0.20000000298023224;1.899999976158142;1.9700000286102295;2.6600000858306885;6.320000171661377;3.950000047683716;0.7099999785423279;4.119999885559082;0;2.450000047683716;2.880000114440918;0.25999999046325684
NASAJuno;0;0;72.97000122070312;9.979999542236328;0;0;0;0;0;0;0;0.28999999165534973;0;0;0;0;0;5.96999979019165;0;0;0;0;0;0;0;4.800000190734863;0;0;0;4.139999866485596;0;0;0;0.5199999809265137;0;0;0;0.9900000095367432;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3400000035762787;0;0;0
nasasolarsystem;0;0;77.98999786376953;5.349999904632568;0;0;0;0;1.0700000524520874;0;0;0.07000000029802322;0;0;0;0;0;3.259999990463257;0;0;0;0;0;0;0;2.619999885559082;0;0;0;4.369999885559082;0;0;0;1.25;0;0;0;3.8499999046325684;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.17000000178813934;0;0;0
EuropeanSpaceHistory;0;0;8.84000015258789;7.78000020980835;0;0;0;0;0;0;0;4.03000020980835;0;0;0;0;0;1.0299999713897705;0;0;0;0;0;0;0;2.6700000762939453;0;0;0;4.610000133514404;0;0;0;69.87999725341797;0;0;0;0.20999999344348907;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.949999988079071;0;0;0
Topic_1;26.100000381469727;1.4900000095367432;0;0;39.880001068115234;1.559999942779541;3.2300000190734863;6.139999866485596;0;5.639999866485596;2.0199999809265137;0;7.489999771118164;1.149999976158142;2.430000066757202;2.7699999809265137;9.649999618530273;0;2.440000057220459;85.56999969482422;0.5199999809265137;16.309999465942383;0.4399999976158142;4.28000020980835;10.819999694824219;0;4.139999866485596;4.369999885559082;4.610000133514404;0;1.7799999713897705;20.649999618530273;5.510000228881836;0;0.23000000417232513;2.200000047683716;2.880000114440918;0;2.619999885559082;4.420000076293945;1.3200000524520874;2.7200000286102295;18.639999389648438;6.650000095367432;0.4699999988079071;10.59000015258789;7.199999809265137;0.27000001072883606;1.659999966621399;15.220000267028809;2.5899999141693115;12.0;46.83000183105469;11.449999809265137;1.3700000047683716;9.859999656677246;0;34.36000061035156;56.72999954223633;3.509999990463257
RosettaMission;0;0;18.979999542236328;0.07999999821186066;0;0;0;0;0.009999999776482582;0;0;0;0;0;0;0;0;71.5;0;0;0;0;0;0;0;2.259999990463257;0;0;0;1.7799999713897705;0;0;0;4.639999866485596;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.7400000095367432;0;0;0
universetoday;0;0;47.68000030517578;7.03000020980835;0;0;0;0;1.1799999475479126;0;0;8.829999923706055;0;0;0;0;0;2.7899999618530273;0;0;0;0;0;0;0;3.5899999141693115;0;0;0;20.649999618530273;0;0;0;0.8999999761581421;0;0;0;6.590000152587891;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.7599999904632568;0;0;0
planetarysociety;0;0;44.65999984741211;6.579999923706055;0;0;0;0;2.430000066757202;0;0;2.6700000762939453;0;0;0;0;0;34.29999923706055;0;0;0;0;0;0;0;0.5600000023841858;0;0;0;5.510000228881836;0;0;0;1.559999942779541;0;0;0;1.340000033378601;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3700000047683716;0;0;0
Topic_7;0.8799999952316284;0.11999999731779099;0;0;5.230000019073486;0.05999999865889549;0.03999999910593033;3.0299999713897705;0;0.8100000023841858;8.569999694824219;0;0.11999999731779099;0.9200000166893005;0;45.939998626708984;0.009999999776482582;0;0.5799999833106995;0.3400000035762787;1.2799999713897705;0;0.15000000596046448;0.05000000074505806;0.009999999776482582;0;0.5199999809265137;1.25;69.87999725341797;0;4.639999866485596;0.8999999761581421;1.559999942779541;0;0.8999999761581421;0.7699999809265137;24.239999771118164;0;0.12999999523162842;12.119999885559082;1.9199999570846558;1.340000033378601;2.009999990463257;0.33000001311302185;2.0999999046325684;2.5899999141693115;0.6000000238418579;1.4700000286102295;1.649999976158142;0.8600000143051147;54.310001373291016;0;0.5;2.759999990463257;58.81999969482422;0;0;0;0.3700000047683716;64.91000366210938
NASAJSC;0;0;4.619999885559082;23.049999237060547;0;0;0;0;0.1899999976158142;0;0;69.51000213623047;0;0;0;0;0;0;0;0;0;0;0;0;0;0.33000001311302185;0;0;0;0.23000000417232513;0;0;0;0.8999999761581421;0;0;0;1.090000033378601;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05999999865889549;0;0;0
nasalarc;0;0;17.030000686645508;52.38999938964844;0;0;0;0;1.0099999904632568;0;0;7.730000019073486;0;0;0;0;0;0;0;0;0;0;0;0;0;2.700000047683716;0;0;0;2.200000047683716;0;0;0;0.7699999809265137;0;0;0;16.15999984741211;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AstronautChrisHadfield;0;0;19.389999389648438;3.4200000762939453;0;0;0;0;30.770000457763672;0;0;6.75;0;0;0;0;0;0.009999999776482582;0;0;0;0;0;0;0;1.3300000429153442;0;0;0;2.880000114440918;0;0;0;24.239999771118164;0;0;0;11.199999809265137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.009999999776482582;0;0;0
Topic_9;4.239999771118164;9.789999961853027;0;0;1.6399999856948853;3.0799999237060547;1.2999999523162842;1.8700000047683716;0;2.9200000762939453;12.479999542236328;0;8.09000015258789;2.25;2.059999942779541;5.760000228881836;9.819999694824219;0;4.550000190734863;1.1100000143051147;1.0;6.119999885559082;3.6700000762939453;1.659999966621399;38.099998474121094;0;0.9900000095367432;3.8499999046325684;0.20999999344348907;0;0;6.590000152587891;1.340000033378601;0;1.090000033378601;16.15999984741211;11.199999809265137;0;2.1500000953674316;3.7799999713897705;3.369999885559082;79.88999938964844;3.5799999237060547;9.6899995803833;3.1500000953674316;2.609999895095825;0.7300000190734863;0.800000011920929;2.390000104904175;1.2699999809265137;3.859999895095825;31.0;7.320000171661377;9.720000267028809;3.059999942779541;13.779999732971191;0;0.6800000071525574;1.9600000381469727;2.5299999713897705
NASASLS;0;0;19.389999389648438;70.80999755859375;0;0;0;0;0;0;0;3.6600000858306885;0;0;0;0;0;0.05999999865889549;0;0;0;0;0;0;0;1.0399999618530273;0;0;0;2.619999885559082;0;0;0;0.12999999523162842;0;0;0;2.1500000953674316;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.14000000059604645;0;0;0
NASAHistoryOffice;0;0;20.770000457763672;50.09000015258789;0;0;0;0;0;0;0;5.119999885559082;0;0;0;0;0;0;0;0;0;0;0;0;0;3.700000047683716;0;0;0;4.420000076293945;0;0;0;12.119999885559082;0;0;0;3.7799999713897705;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NASAGlenn;0;0;9.880000114440918;76.1500015258789;0;0;0;0;1.8200000524520874;0;0;4.929999828338623;0;0;0;0;0;0.019999999552965164;0;0;0;0;0;0;0;0.5799999833106995;0;0;0;1.3200000524520874;0;0;0;1.9199999570846558;0;0;0;3.369999885559082;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
nasaearth;0;0;7.070000171661377;2.6500000953674316;0;0;0;0;0.25;0;0;1.7699999809265137;0;0;0;0;0;0.20999999344348907;0;0;0;0;0;0;0;4.110000133514404;0;0;0;2.7200000286102295;0;0;0;1.340000033378601;0;0;0;79.88999938964844;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
spacecom;0;0;48.54999923706055;6.420000076293945;0;0;0;0;8.880000114440918;0;0;7.559999942779541;0;0;0;0;0;0.7099999785423279;0;0;0;0;0;0;0;2.2799999713897705;0;0;0;18.639999389648438;0;0;0;2.009999990463257;0;0;0;3.5799999237060547;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.3899999856948853;0;0;0
NasaMeteorWatch;0;0;24.75;1.840000033378601;0;0;0;0;30.739999771118164;0;0;0.5;0;0;0;0;0;0.07999999821186066;0;0;0;0;0;0;0;25.40999984741211;0;0;0;6.650000095367432;0;0;0;0.33000001311302185;0;0;0;9.6899995803833;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ISS;0;0;2.759999990463257;5.900000095367432;0;0;0;0;0;0;0;84.91999816894531;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6899999976158142;0;0;0;0.4699999988079071;0;0;0;2.0999999046325684;0;0;0;3.1500000953674316;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
StarTalkRadio;0;0;26.65999984741211;5.949999809265137;0;0;0;0;37.459999084472656;0;0;6.570000171661377;0;0;0;0;0;1.4299999475479126;0;0;0;0;0;0;0;2.930000066757202;0;0;0;10.59000015258789;0;0;0;2.5899999141693115;0;0;0;2.609999895095825;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.200000047683716;0;0;0
webbtelescope;0;0;7.25;14.1899995803833;0;0;0;0;0.25;0;0;0.029999999329447746;0;0;0;0;0;0.07000000029802322;0;0;0;0;0;0;0;0.9100000262260437;0;0;0;7.199999809265137;0;0;0;0.6000000238418579;0;0;0;0.7300000190734863;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68.75;0;0;0
SpaceX;0;0;13.069999694824219;24.010000228881836;0;0;0;0;1.3799999952316284;0;0;57.470001220703125;0;0;0;0;0;0.6700000166893005;0;0;0;0;0;0;0;0.8500000238418579;0;0;0;0.27000001072883606;0;0;0;1.4700000286102295;0;0;0;0.800000011920929;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NASA.ISRU;0;0;23.139999389648438;60.119998931884766;0;0;0;0;0;0;0;8.949999809265137;0;0;0;0;0;1.6699999570846558;0;0;0;0;0;0;0;0.20000000298023224;0;0;0;1.659999966621399;0;0;0;1.649999976158142;0;0;0;2.390000104904175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2199999988079071;0;0;0
hubbleESA;0;0;3.240000009536743;0.05000000074505806;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3100000023841858;0;0;0;0;0;0;0;1.899999976158142;0;0;0;15.220000267028809;0;0;0;0.8600000143051147;0;0;0;1.2699999809265137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;77.1500015258789;0;0;0
CanadianSpaceAgency;0;0;12.100000381469727;5.940000057220459;0;0;0;0;0.4300000071525574;0;0;18.149999618530273;0;0;0;0;0;0.25999999046325684;0;0;0;0;0;0;0;1.9700000286102295;0;0;0;2.5899999141693115;0;0;0;54.310001373291016;0;0;0;3.859999895095825;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.38999998569488525;0;0;0
NASA.STI.Program;0;0;23.200000762939453;23.690000534057617;0;0;0;0;0;0;0;5.710000038146973;0;0;0;0;0;0.17000000178813934;0;0;0;0;0;0;0;2.6600000858306885;0;0;0;12.0;0;0;0;0;0;0;0;31.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.5800000429153442;0;0;0
SETIInstitute;0;0;30.639999389648438;1.809999942779541;0;0;0;0;0.3400000035762787;0;0;0.8299999833106995;0;0;0;0;0;2.4000000953674316;0;0;0;0;0;0;0;6.320000171661377;0;0;0;46.83000183105469;0;0;0;0.5;0;0;0;7.320000171661377;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.009999990463257;0;0;0
nasaspaceplace;0;0;55.9900016784668;6.489999771118164;0;0;0;0;3.319999933242798;0;0;3.549999952316284;0;0;0;0;0;0.23000000417232513;0;0;0;0;0;0;0;3.950000047683716;0;0;0;11.449999809265137;0;0;0;2.759999990463257;0;0;0;9.720000267028809;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.5399999618530273;0;0;0
ESATimPeake;0;0;9.920000076293945;3.1500000953674316;0;0;0;0;5.239999771118164;0;0;17.65999984741211;0;0;0;0;0;0.07000000029802322;0;0;0;0;0;0;0;0.7099999785423279;0;0;0;1.3700000047683716;0;0;0;58.81999969482422;0;0;0;3.059999942779541;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NASA;0;0;30.43000030517578;10.470000267028809;0;0;0;0;0;0;0;30.780000686645508;0;0;0;0;0;0;0;0;0;0;0;0;0;4.119999885559082;0;0;0;9.859999656677246;0;0;0;0;0;0;0;13.779999732971191;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5699999928474426;0;0;0
Topic_0;0.14000000059604645;0.6700000166893005;0;0;0.5699999928474426;0.009999999776482582;0;81.13999938964844;0;0.12999999523162842;0.019999999552965164;0;0.5699999928474426;0;0;3.3499999046325684;0.3199999928474426;0;0.6000000238418579;1.100000023841858;0.009999999776482582;5.079999923706055;0.5099999904632568;0.05999999865889549;10.329999923706055;0;0.3400000035762787;0.17000000178813934;0.949999988079071;0;0.7400000095367432;0.7599999904632568;0.3700000047683716;0;0.05999999865889549;0;0.009999999776482582;0;0.14000000059604645;0;0;0;1.3899999856948853;0;0;3.200000047683716;68.75;0;0.2199999988079071;77.1500015258789;0.38999998569488525;1.5800000429153442;3.009999990463257;2.5399999618530273;0;0.5699999928474426;0;38.029998779296875;1.5499999523162842;4.269999980926514
HubbleTelescope;0;0;22.65999984741211;0.9200000166893005;0;0;0;0;0.3799999952316284;0;0;0;0;0;0;0;0;0.5099999904632568;0;0;0;0;0;0;0;2.450000047683716;0;0;0;34.36000061035156;0;0;0;0;0;0;0;0.6800000071525574;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38.029998779296875;0;0;0
