id,label,timeset,weighted degree,modularity_class,degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
Philae2014,Philae2014,,100.01000076532364,2,10,2.0,0.543859649122807,0.5806451612903226,0.8490566037735848
NASAJPL,NASAJPL,,100.01000122725964,4,10,2.0,0.543859649122807,0.5806451612903226,0.8490566037735848
MarsCuriosity,MarsCuriosity,,99.98999592661858,4,10,2.0,0.543859649122807,0.5806451612903226,0.8490566037735848
SETIInstitute,SETIInstitute,,100.01000013947487,7,10,2.0,0.543859649122807,0.5806451612903226,0.8490566037735848
NASAJuno,NASAJuno,,100.00000178813934,4,10,2.0,0.543859649122807,0.5806451612903226,0.8490566037735848
SPACEdotcom,SPACEdotcom,,100.00000123679638,7,10,2.0,0.543859649122807,0.5806451612903226,0.8490566037735848
Alex_Parker,Alex_Parker,,100.0,5,10,2.0,0.543859649122807,0.5806451612903226,0.8490566037735848
coreyspowell,coreyspowell,,99.99999818205833,7,10,2.0,0.543859649122807,0.5806451612903226,0.8490566037735848
Topic_2,ASTROBIOLOGY,,696.4800027608871,7,53,2.0,0.8732394366197183,0.9274193548387096,137.79999999999984
Topic_7,PLANET EXPLORATION,,564.0299949645996,8,53,2.0,0.8732394366197183,0.9274193548387096,137.79999999999984
NASA_Johnson,NASA_Johnson,,99.99999786540866,0,10,2.0,0.543859649122807,0.5806451612903226,0.8490566037735848
NASASocial,NASASocial,,99.98999726772308,4,10,2.0,0.543859649122807,0.5806451612903226,0.8490566037735848
PlanetQuest,PlanetQuest,,100.00999835133553,7,10,2.0,0.543859649122807,0.5806451612903226,0.8490566037735848
Topic_8,ROCKET LAUNCH,,485.11000131070614,9,53,2.0,0.8732394366197183,0.9274193548387096,137.79999999999984
AstrobiologyNAI,AstrobiologyNAI,,99.97999995946884,7,10,2.0,0.543859649122807,0.5806451612903226,0.8490566037735848
ISS_Research,ISS_Research,,100.00000050663948,0,10,2.0,0.543859649122807,0.5806451612903226,0.8490566037735848
