id,label,timeset,weighted degree,modularity_class,degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
NASA_Technology,NASA_Technology,,100.01000127196312,9,10,2.0,0.543859649122807,0.5806451612903226,0.8490566037735848
NASAVoyager,NASAVoyager,,99.99000096321106,4,10,2.0,0.543859649122807,0.5806451612903226,0.8490566037735848
SKA_telescope,SKA_telescope,,99.99999725818634,2,10,2.0,0.543859649122807,0.5806451612903226,0.8490566037735848
Topic_6,SPACE STATION,,563.4499995708466,0,53,2.0,0.8732394366197183,0.9274193548387096,137.79999999999984
TheUniverse_TM,TheUniverse_TM,,100.02000378072262,1,10,2.0,0.543859649122807,0.5806451612903226,0.8490566037735848
NASAGoddard,NASAGoddard,,100.01000034809113,4,10,2.0,0.543859649122807,0.5806451612903226,0.8490566037735848
Space_Station,Space_Station,,99.99000172317028,0,10,2.0,0.543859649122807,0.5806451612903226,0.8490566037735848
Topic_9,EU COMET MISSION,,463.16000386700034,2,53,2.0,0.8732394366197183,0.9274193548387096,137.79999999999984
ESA_CAVES,ESA_CAVES,,100.00000071525574,6,10,2.0,0.543859649122807,0.5806451612903226,0.8490566037735848
The_SolarSystem,The_SolarSystem,,100.00000104308128,7,10,2.0,0.543859649122807,0.5806451612903226,0.8490566037735848
CassiniSaturn,CassiniSaturn,,100.01000052690506,8,10,2.0,0.543859649122807,0.5806451612903226,0.8490566037735848
HUBBLE_space,HUBBLE_space,,99.99000135064125,1,10,2.0,0.543859649122807,0.5806451612903226,0.8490566037735848
NASA_Astronauts,NASA_Astronauts,,100.00999879837036,0,10,2.0,0.543859649122807,0.5806451612903226,0.8490566037735848
MarsRovers,MarsRovers,,99.99000120162964,4,10,2.0,0.543859649122807,0.5806451612903226,0.8490566037735848
NASA,NASA,,100.01999995112419,4,10,2.0,0.543859649122807,0.5806451612903226,0.8490566037735848
StarTalkRadio,StarTalkRadio,,99.99000172317028,5,10,2.0,0.543859649122807,0.5806451612903226,0.8490566037735848
SpaceTweeps,SpaceTweeps,,100.00999826192856,2,10,2.0,0.543859649122807,0.5806451612903226,0.8490566037735848
nasahqphoto,nasahqphoto,,99.98999930918217,9,10,2.0,0.543859649122807,0.5806451612903226,0.8490566037735848
spacegovuk,spacegovuk,,100.01000194251537,2,10,2.0,0.543859649122807,0.5806451612903226,0.8490566037735848
universetoday,universetoday,,99.98999807238579,8,10,2.0,0.543859649122807,0.5806451612903226,0.8490566037735848
NSFVoyager2,NSFVoyager2,,99.99999752640724,3,10,2.0,0.543859649122807,0.5806451612903226,0.8490566037735848
esascience,esascience,,100.00000008940697,2,10,2.0,0.543859649122807,0.5806451612903226,0.8490566037735848
NewHorizons2015,NewHorizons2015,,100.01000061631203,8,10,2.0,0.543859649122807,0.5806451612903226,0.8490566037735848
astrobiology,astrobiology,,99.99000327289104,7,10,2.0,0.543859649122807,0.5806451612903226,0.8490566037735848
BadAstronomer,BadAstronomer,,99.99000012874603,5,10,2.0,0.543859649122807,0.5806451612903226,0.8490566037735848
NASAblueshift,NASAblueshift,,100.00999820232391,5,10,2.0,0.543859649122807,0.5806451612903226,0.8490566037735848
earthskyscience,earthskyscience,,99.9900012910366,6,10,2.0,0.543859649122807,0.5806451612903226,0.8490566037735848
Topic_3,SPACE_TRAVEL,,126.4699974656105,3,53,2.0,0.8732394366197183,0.9274193548387096,137.79999999999984
esaoperations,esaoperations,,99.99000132083893,2,10,2.0,0.543859649122807,0.5806451612903226,0.8490566037735848
Topic_5,MARS,,1039.379994213581,4,53,2.0,0.8732394366197183,0.9274193548387096,137.79999999999984
Topic_1,GALAXIES,,293.8800038397312,1,53,2.0,0.8732394366197183,0.9274193548387096,137.79999999999984
space,space,,100.00999927520752,7,10,2.0,0.543859649122807,0.5806451612903226,0.8490566037735848
ESA_Rosetta,ESA_Rosetta,,100.01000061631203,2,10,2.0,0.543859649122807,0.5806451612903226,0.8490566037735848
Topic_0,SCIENCE_IS_COOL,,864.1499953269958,5,53,2.0,0.8732394366197183,0.9274193548387096,137.79999999999984
esa,esa,,100.01000171899796,2,10,2.0,0.543859649122807,0.5806451612903226,0.8490566037735848
Topic_4,PLANETS,,203.96000234782696,6,53,2.0,0.8732394366197183,0.9274193548387096,137.79999999999984
N165Mars,N165Mars,,99.99999713897705,5,10,2.0,0.543859649122807,0.5806451612903226,0.8490566037735848
neiltyson,neiltyson,,100.00999942421913,5,10,2.0,0.543859649122807,0.5806451612903226,0.8490566037735848
Cmdr_Hadfield,Cmdr_Hadfield,,100.00999853014946,5,10,2.0,0.543859649122807,0.5806451612903226,0.8490566037735848
Astro_Jeremy,Astro_Jeremy,,99.98999896645546,0,10,2.0,0.543859649122807,0.5806451612903226,0.8490566037735848
SpaceSciencenew,SpaceSciencenew,,99.99999874830246,8,10,2.0,0.543859649122807,0.5806451612903226,0.8490566037735848
elakdawalla,elakdawalla,,100.00999820232391,8,10,2.0,0.543859649122807,0.5806451612903226,0.8490566037735848
SpaceX,SpaceX,,100.01000048220158,9,10,2.0,0.543859649122807,0.5806451612903226,0.8490566037735848
RandomSpaceFact,RandomSpaceFact,,99.9899976849556,8,10,2.0,0.543859649122807,0.5806451612903226,0.8490566037735848
NASAKennedy,NASAKennedy,,99.99999997019768,9,10,2.0,0.543859649122807,0.5806451612903226,0.8490566037735848
csa_asc,csa_asc,,100.0000002682209,0,10,2.0,0.543859649122807,0.5806451612903226,0.8490566037735848
ChabotSpace,ChabotSpace,,100.01000073552132,5,10,2.0,0.543859649122807,0.5806451612903226,0.8490566037735848
